Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_JavaTestProject,,,2018-02-16 14:59:47,2018-02-16 14:59:49,1.716s,PASSED
,,,,,,
Test Cases/TC01_Verify Service Uptime,,,2018-02-16 14:59:47,2018-02-16 14:59:49,1.283s,PASSED
comment,,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.079s,PASSED
Statement - url = G_URL,,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.008s,PASSED
comment,,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.004s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RequestObject(),,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.011s,PASSED
comment,,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.004s,PASSED
"Statement - ro.setRestRequestMethod(""GET"")",,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.007s,PASSED
Statement - ro.setRestUrl(url),,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.002s,PASSED
comment,,,2018-02-16 14:59:48,2018-02-16 14:59:48,0.008s,PASSED
Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(ro),,,2018-02-16 14:59:48,2018-02-16 14:59:49,0.464s,PASSED
comment,,,2018-02-16 14:59:49,2018-02-16 14:59:49,0.001s,PASSED
Statement - println(resp.getStatusCode()),,,2018-02-16 14:59:49,2018-02-16 14:59:49,0.013s,PASSED
verifyEqual,,,2018-02-16 14:59:49,2018-02-16 14:59:49,0.037s,PASSED
