Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_JavaTestProject,,,2018-02-14 13:12:17,2018-02-14 13:12:19,2.434s,FAILED
,,,,,,
Test Cases/TC01_Verify Service Uptime,,,2018-02-14 13:12:17,2018-02-14 13:12:19,2.072s,FAILED
comment,,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.051s,PASSED
"Statement - url = ""http://lttech1550.safaricom.net:9090/status""",,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.000s,PASSED
comment,,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.000s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RequestObject(),,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.024s,PASSED
comment,,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.000s,PASSED
"Statement - ro.setRestRequestMethod(""GET"")",,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.000s,PASSED
Statement - ro.setRestUrl(url),,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.001s,PASSED
comment,,,2018-02-14 13:12:18,2018-02-14 13:12:18,0.000s,PASSED
Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(ro),,,2018-02-14 13:12:18,2018-02-14 13:12:19,1.392s,FAILED
