Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_JavaTestProject,,,2018-02-14 15:30:45,2018-02-14 15:30:48,2.605s,PASSED
,,,,,,
Test Cases/TC01_Verify Service Uptime,,,2018-02-14 15:30:46,2018-02-14 15:30:48,2.150s,PASSED
comment,,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.075s,PASSED
"Statement - url = ""http://lttech1550.safaricom.net:9090/status""",,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.002s,PASSED
comment,,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.002s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RequestObject(),,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.011s,PASSED
comment,,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.005s,PASSED
"Statement - ro.setRestRequestMethod(""GET"")",,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.002s,PASSED
Statement - ro.setRestUrl(url),,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.002s,PASSED
comment,,,2018-02-14 15:30:47,2018-02-14 15:30:47,0.002s,PASSED
Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(ro),,,2018-02-14 15:30:47,2018-02-14 15:30:48,1.045s,PASSED
comment,,,2018-02-14 15:30:48,2018-02-14 15:30:48,0.002s,PASSED
Statement - println(resp.getStatusCode()),,,2018-02-14 15:30:48,2018-02-14 15:30:48,0.006s,PASSED
verifyEqual,,,2018-02-14 15:30:48,2018-02-14 15:30:48,0.041s,PASSED
