Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_JavaTestProject,,,2018-02-14 13:19:04,2018-02-14 13:19:07,2.615s,PASSED
,,,,,,
Test Cases/TC01_Verify Service Uptime,,,2018-02-14 13:19:04,2018-02-14 13:19:07,2.253s,PASSED
comment,,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.050s,PASSED
"Statement - url = ""http://lttech1550.safaricom.net:9090/status""",,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.001s,PASSED
comment,,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.002s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RequestObject(),,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.015s,PASSED
comment,,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.002s,PASSED
"Statement - ro.setRestRequestMethod(""GET"")",,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.002s,PASSED
Statement - ro.setRestUrl(url),,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.002s,PASSED
comment,,,2018-02-14 13:19:05,2018-02-14 13:19:05,0.002s,PASSED
Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(ro),,,2018-02-14 13:19:05,2018-02-14 13:19:07,1.550s,PASSED
comment,,,2018-02-14 13:19:07,2018-02-14 13:19:07,0.001s,PASSED
Statement - println(resp.getStatusCode()),,,2018-02-14 13:19:07,2018-02-14 13:19:07,0.052s,PASSED
verifyEqual,,,2018-02-14 13:19:07,2018-02-14 13:19:07,0.028s,PASSED
